loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,open_acc,revol_bal,revol_util,total_acc,loan_status
6000.0, 36 months,10.59,195.27,B,2.0,RENT,42000.0,Not Verified,debt_consolidation,CA,12.74,0.0,3.0,11.0,528.0,9.1,22.0,1
10000.0, 36 months,8.94,317.72,A,6.0,MORTGAGE,86000.0,Not Verified,other,PA,17.43,0.0,0.0,20.0,26741.0,0.3,48.0,1
5900.0, 36 months,7.66,183.97,A,9.0,MORTGAGE,84000.0,Not Verified,car,DE,17.34,0.0,0.0,7.0,9497.0,52.8,31.0,1
11200.0, 36 months,7.29,347.32,A,4.0,MORTGAGE,95000.0,Source Verified,credit_card,MO,18.88,0.0,0.0,20.0,28012.0,45.1,53.0,1
5000.0, 36 months,14.27,171.55,C,4.0,MORTGAGE,111740.0,Source Verified,vacation,GA,20.62,0.0,3.0,14.0,29135.0,93.1,50.0,1
10000.0, 36 months,11.71,330.76,B,1.0,RENT,50000.0,Source Verified,credit_card,MA,21.46,0.0,0.0,7.0,10990.0,71.4,11.0,1
12000.0, 36 months,9.99,387.15,B,6.0,RENT,58260.0,Not Verified,debt_consolidation,LA,8.24,0.0,2.0,8.0,13669.0,33.3,46.0,0
10000.0, 60 months,11.11,217.98,B,7.0,RENT,78000.0,Not Verified,car,MA,2.75,0.0,0.0,3.0,6990.0,43.4,4.0,1
5200.0, 36 months,9.99,167.77,B,0.0,RENT,65000.0,Verified,debt_consolidation,CA,4.6,0.0,1.0,6.0,4916.0,69.2,9.0,1
5000.0, 36 months,14.26,171.53,C,1.0,RENT,40000.0,Not Verified,debt_consolidation,MA,1.65,0.0,0.0,4.0,5536.0,72.8,4.0,1
5225.0, 36 months,7.49,162.51,A,8.0,MORTGAGE,135000.0,Not Verified,major_purchase,NJ,13.52,1.0,2.0,19.0,21618.0,52.3,32.0,0
20000.0, 60 months,11.71,441.97,B,0.0,RENT,81200.0,Verified,major_purchase,NC,13.52,0.0,1.0,7.0,4415.0,14.8,61.0,1
1450.0, 36 months,6.76,44.62,A,10.0,MORTGAGE,121200.0,Not Verified,major_purchase,TX,18.83,0.0,0.0,19.0,58184.0,9.1,48.0,1
20000.0, 36 months,13.99,683.46,C,0.0,MORTGAGE,52000.0,Verified,debt_consolidation,GA,11.7,0.0,1.0,7.0,6332.0,71.1,18.0,1
9200.0, 60 months,14.79,217.86,C,4.0,OWN,40000.0,Source Verified,small_business,OK,8.61,0.0,3.0,8.0,4984.0,35.6,14.0,1
26000.0, 60 months,15.99,632.14,D,10.0,MORTGAGE,83100.0,Verified,debt_consolidation,WI,22.89,0.0,1.0,12.0,20145.0,51.5,31.0,1
8000.0, 36 months,13.61,271.91,C,7.0,MORTGAGE,72000.0,Verified,debt_consolidation,FL,22.62,2.0,0.0,12.0,8500.0,34.1,24.0,1
25000.0, 36 months,16.29,882.51,D,3.0,MORTGAGE,82000.0,Verified,debt_consolidation,OR,12.19,0.0,1.0,8.0,13544.0,83.6,20.0,1
12000.0, 60 months,13.49,276.06,C,4.0,RENT,48000.0,Source Verified,debt_consolidation,FL,19.13,0.0,0.0,8.0,14383.0,81.7,13.0,0
6400.0, 36 months,11.11,209.87,B,10.0,MORTGAGE,30000.0,Verified,debt_consolidation,AZ,7.08,0.0,2.0,4.0,5491.0,96.3,26.0,1
20800.0, 60 months,10.65,448.63,B,5.0,MORTGAGE,41000.0,Verified,debt_consolidation,CT,14.66,0.0,0.0,7.0,14245.0,29.4,18.0,1
13000.0, 36 months,13.98,444.19,C,3.0,RENT,76000.0,Verified,credit_card,NJ,17.15,0.0,0.0,11.0,4152.0,34.9,15.0,1
25000.0, 60 months,12.69,564.87,B,0.0,RENT,87300.0,Verified,wedding,MD,4.15,0.0,2.0,6.0,0.0,0.0,26.0,1
12000.0, 36 months,11.71,396.92,B,6.0,RENT,41000.0,Source Verified,credit_card,FL,11.0,0.0,1.0,6.0,11529.0,57.9,10.0,1
9600.0, 36 months,5.42,289.54,A,10.0,MORTGAGE,35500.0,Not Verified,home_improvement,MI,21.13,0.0,0.0,6.0,1471.0,6.9,19.0,1
25000.0, 60 months,11.49,342.46,B,0.0,RENT,82000.0,Verified,other,OR,10.26,0.0,0.0,11.0,3039.0,6.4,32.0,1
10800.0, 36 months,8.0,338.43,A,0.0,MORTGAGE,135000.0,Source Verified,home_improvement,CA,6.82,0.0,2.0,7.0,10232.0,19.1,31.0,1
35000.0, 36 months,19.03,1283.5,E,6.0,RENT,200000.0,Source Verified,debt_consolidation,VA,4.18,0.0,0.0,8.0,13645.0,91.6,19.0,1
10000.0, 36 months,6.92,308.41,A,3.0,RENT,24000.0,Verified,debt_consolidation,PA,18.25,0.0,0.0,18.0,9431.0,21.1,24.0,1
6000.0, 60 months,7.66,120.69,A,5.0,MORTGAGE,98899.39,Verified,car,WA,10.69,0.0,0.0,9.0,1976.0,23.0,12.0,1
9000.0, 36 months,14.84,311.29,D,10.0,MORTGAGE,31000.0,Source Verified,debt_consolidation,OR,9.52,0.0,3.0,7.0,3808.0,88.6,14.0,0
15000.0, 36 months,9.63,481.42,A,3.0,RENT,120000.0,Verified,home_improvement,CA,2.93,0.0,0.0,8.0,7265.0,11.7,19.0,1
15000.0, 36 months,15.68,525.03,E,0.0,MORTGAGE,113000.0,Not Verified,debt_consolidation,TX,13.12,0.0,0.0,29.0,50910.0,32.6,65.0,1
20000.0, 60 months,14.91,420.02,D,9.0,RENT,120000.0,Verified,debt_consolidation,NJ,16.85,0.0,0.0,12.0,31446.0,62.8,21.0,1
3700.0, 60 months,9.99,78.6,B,0.0,MORTGAGE,62000.0,Verified,vacation,UT,10.59,1.0,1.0,7.0,10659.0,48.0,44.0,0
1800.0, 36 months,12.18,59.94,B,1.0,RENT,18000.0,Not Verified,other,MD,6.33,0.0,0.0,6.0,1454.0,33.8,7.0,0
16000.0, 60 months,10.37,342.88,B,10.0,MORTGAGE,60000.0,Not Verified,debt_consolidation,PA,16.3,0.0,0.0,13.0,6236.0,12.8,18.0,1
20400.0, 36 months,13.06,687.95,C,5.0,RENT,69996.0,Verified,debt_consolidation,NY,7.3,0.0,0.0,10.0,16689.0,47.7,16.0,1
2300.0, 60 months,18.99,59.66,F,6.0,RENT,12000.0,Source Verified,car,SC,16.7,0.0,0.0,2.0,2179.0,94.7,8.0,1
19750.0, 60 months,17.06,491.48,E,10.0,MORTGAGE,60000.0,Verified,debt_consolidation,CT,20.78,0.0,0.0,12.0,14008.0,57.4,33.0,1
12000.0, 36 months,6.62,368.45,A,2.0,RENT,40800.0,Verified,major_purchase,CA,9.44,0.0,0.0,6.0,6744.0,22.1,10.0,1
6400.0, 60 months,12.61,144.35,C,10.0,MORTGAGE,59865.6,Not Verified,home_improvement,FL,20.71,0.0,0.0,15.0,7322.0,41.1,32.0,1
8800.0, 60 months,17.19,219.61,E,4.0,RENT,65000.0,Verified,credit_card,CA,3.21,0.0,0.0,2.0,3412.0,97.5,9.0,0
8000.0, 36 months,9.76,257.24,B,5.0,MORTGAGE,40000.0,Not Verified,car,TX,18.72,0.0,0.0,8.0,38605.0,67.7,35.0,1
4600.0, 36 months,14.79,158.99,C,0.0,RENT,30000.0,Source Verified,debt_consolidation,GA,18.44,1.0,1.0,14.0,15543.0,50.7,24.0,1
3000.0, 36 months,6.99,92.62,A,1.0,MORTGAGE,54072.0,Source Verified,major_purchase,WY,1.22,0.0,1.0,8.0,1687.0,13.0,9.0,1
6000.0, 36 months,7.49,186.61,A,10.0,MORTGAGE,78500.0,Not Verified,other,NY,14.97,0.0,1.0,7.0,8417.0,59.6,31.0,1
11400.0, 36 months,11.89,378.07,B,2.0,RENT,65000.0,Source Verified,wedding,IL,16.52,1.0,3.0,11.0,2324.0,16.4,18.0,1
15000.0, 36 months,13.16,506.56,C,10.0,MORTGAGE,51036.0,Verified,debt_consolidation,AZ,21.44,0.0,1.0,10.0,19855.0,74.1,26.0,1
8000.0, 36 months,6.99,246.99,A,10.0,MORTGAGE,100000.0,Verified,debt_consolidation,LA,8.2,0.0,2.0,7.0,4618.0,38.2,17.0,1
7200.0, 36 months,11.99,239.11,B,2.0,RENT,90000.0,Not Verified,debt_consolidation,VA,21.15,0.0,3.0,17.0,32437.0,54.6,32.0,1
9475.0, 36 months,6.03,288.38,A,0.0,MORTGAGE,62000.0,Verified,debt_consolidation,WI,28.26,0.0,0.0,7.0,30919.0,46.1,14.0,1
4800.0, 36 months,10.99,157.13,B,5.0,RENT,26004.0,Not Verified,debt_consolidation,FL,11.91,0.0,0.0,9.0,6389.0,55.6,27.0,1
16000.0, 60 months,14.91,379.89,D,6.0,RENT,65500.0,Source Verified,debt_consolidation,CO,16.27,0.0,1.0,8.0,28218.0,78.6,23.0,1
4250.0, 36 months,6.99,131.21,A,8.0,RENT,35000.0,Verified,debt_consolidation,NJ,22.83,0.0,0.0,6.0,12285.0,69.0,25.0,1
7000.0, 36 months,12.87,235.44,C,0.0,MORTGAGE,107000.0,Not Verified,other,FL,18.09,0.0,0.0,9.0,89844.0,84.8,32.0,1
6000.0, 36 months,7.66,187.08,A,1.0,RENT,37000.0,Source Verified,credit_card,CA,23.25,0.0,1.0,9.0,14718.0,22.2,18.0,1
10000.0, 36 months,15.62,349.7,D,1.0,RENT,65000.0,Not Verified,major_purchase,TX,23.45,1.0,2.0,19.0,23063.0,35.9,51.0,1
7000.0, 36 months,14.61,241.33,D,0.0,OTHER,42500.0,Not Verified,debt_consolidation,CA,10.64,0.0,1.0,8.0,8557.0,77.1,16.0,1
12000.0, 36 months,9.88,386.53,B,6.0,MORTGAGE,80000.0,Not Verified,debt_consolidation,MD,15.03,0.0,0.0,13.0,19330.0,23.0,23.0,1
25000.0, 36 months,16.77,888.46,D,10.0,MORTGAGE,90000.0,Verified,debt_consolidation,VA,20.69,0.0,3.0,13.0,39640.0,88.7,29.0,0
16000.0, 60 months,18.3,408.92,F,4.0,RENT,48000.0,Verified,debt_consolidation,MD,10.72,0.0,0.0,7.0,2823.0,72.4,18.0,0
8000.0, 36 months,11.71,264.61,B,1.0,RENT,150000.0,Not Verified,credit_card,NY,2.48,1.0,0.0,5.0,9722.0,56.2,8.0,1
19450.0, 36 months,9.91,626.78,B,6.0,MORTGAGE,82600.0,Verified,debt_consolidation,NV,12.17,0.0,1.0,13.0,19030.0,52.5,39.0,1
35000.0, 60 months,12.42,619.26,B,9.0,MORTGAGE,105000.0,Verified,home_improvement,TX,16.53,0.0,0.0,9.0,15523.0,25.0,38.0,1
10000.0, 60 months,18.99,259.36,F,4.0,RENT,35000.0,Source Verified,small_business,NJ,19.82,0.0,1.0,5.0,3447.0,56.5,8.0,1
25000.0, 36 months,11.83,828.35,B,10.0,MORTGAGE,75000.0,Not Verified,debt_consolidation,IL,8.74,0.0,3.0,6.0,0.0,0.0,22.0,1
18000.0, 36 months,14.61,620.56,D,0.0,MORTGAGE,135000.0,Not Verified,small_business,CA,8.04,0.0,2.0,7.0,3884.0,12.8,12.0,1
29700.0, 60 months,17.88,752.25,E,3.0,RENT,50400.0,Verified,debt_consolidation,CA,20.05,0.0,0.0,6.0,15957.0,75.5,18.0,1
9100.0, 36 months,13.48,308.71,C,2.0,RENT,62000.0,Verified,debt_consolidation,CA,16.7,0.0,0.0,17.0,17958.0,85.5,45.0,1
8000.0, 36 months,15.58,279.61,D,0.0,RENT,58000.0,Verified,credit_card,GA,19.66,0.0,1.0,18.0,17066.0,38.1,31.0,1
5500.0, 36 months,14.61,189.62,D,1.0,MORTGAGE,61400.0,Not Verified,other,SC,20.38,0.0,0.0,11.0,14103.0,58.0,21.0,1
5000.0, 36 months,13.79,170.38,C,3.0,RENT,55000.0,Verified,other,WA,19.11,0.0,1.0,6.0,21391.0,87.6,19.0,1
7800.0, 36 months,7.9,244.07,A,1.0,RENT,70000.0,Not Verified,debt_consolidation,NJ,12.75,0.0,1.0,9.0,5481.0,39.8,15.0,1
35000.0, 60 months,17.27,874.93,D,5.0,MORTGAGE,72000.0,Verified,debt_consolidation,MO,20.92,0.0,0.0,17.0,45359.0,61.1,40.0,0
6000.0, 36 months,11.48,197.82,B,0.0,OWN,40000.0,Not Verified,debt_consolidation,NH,18.24,0.0,1.0,7.0,15955.0,70.9,19.0,1
15600.0, 36 months,7.9,488.13,A,6.0,MORTGAGE,90000.0,Not Verified,credit_card,OH,16.35,0.0,0.0,14.0,15610.0,69.1,18.0,1
6000.0, 36 months,9.63,192.57,A,1.0,MORTGAGE,75000.0,Not Verified,credit_card,MD,18.67,0.0,1.0,13.0,7849.0,40.5,39.0,1
9600.0, 36 months,14.46,330.26,D,6.0,RENT,52000.0,Verified,credit_card,CA,11.35,0.0,1.0,10.0,13368.0,73.0,13.0,1
3600.0, 60 months,16.49,88.49,D,5.0,OWN,31243.0,Not Verified,car,NY,5.03,0.0,1.0,5.0,2988.0,29.0,5.0,0
35000.0, 60 months,18.79,903.88,E,10.0,OWN,66000.0,Verified,other,NY,13.36,0.0,0.0,9.0,1722.0,35.1,15.0,1
5000.0, 36 months,7.51,155.56,A,1.0,RENT,25000.0,Not Verified,credit_card,AZ,8.78,0.0,0.0,4.0,1844.0,38.4,9.0,1
9625.0, 36 months,10.74,313.93,B,10.0,MORTGAGE,115731.0,Verified,debt_consolidation,MD,0.25,1.0,3.0,2.0,451.0,37.6,39.0,1
22800.0, 36 months,18.67,831.96,F,9.0,MORTGAGE,50400.0,Verified,debt_consolidation,CA,10.17,0.0,0.0,16.0,22552.0,75.7,32.0,1
15000.0, 36 months,7.9,469.36,A,9.0,MORTGAGE,31000.0,Source Verified,debt_consolidation,FL,9.83,0.0,0.0,9.0,10222.0,52.4,13.0,0
8000.0, 36 months,7.66,249.44,A,8.0,MORTGAGE,90000.0,Not Verified,credit_card,NY,13.2,0.0,0.0,8.0,9355.0,59.6,16.0,1
24250.0, 60 months,11.86,537.72,B,10.0,OWN,56000.0,Verified,debt_consolidation,NY,19.93,0.0,1.0,15.0,39981.0,48.5,25.0,1
8000.0, 36 months,6.99,246.99,A,7.0,MORTGAGE,96000.0,Not Verified,other,KS,13.63,0.0,2.0,6.0,16134.0,71.7,28.0,1
1000.0, 36 months,17.49,35.9,D,0.0,RENT,36000.0,Source Verified,moving,CA,20.4,0.0,0.0,4.0,9026.0,98.1,12.0,0
6250.0, 36 months,14.72,215.81,C,4.0,OWN,14400.0,Source Verified,debt_consolidation,NY,8.92,0.0,0.0,6.0,3441.0,75.4,7.0,0
10000.0, 36 months,9.63,320.94,B,10.0,RENT,90000.0,Source Verified,credit_card,NY,17.96,0.0,0.0,8.0,52045.0,73.9,14.0,1
15175.0, 36 months,19.13,557.24,F,0.0,RENT,55000.0,Not Verified,small_business,NY,2.38,0.0,0.0,4.0,491.0,98.2,15.0,1
4500.0, 36 months,5.79,136.48,A,5.0,RENT,24000.0,Verified,home_improvement,GA,20.7,0.0,0.0,5.0,285.0,3.7,6.0,1
3000.0, 36 months,14.27,102.93,C,1.0,MORTGAGE,120000.0,Verified,home_improvement,AZ,16.86,0.0,3.0,22.0,14135.0,54.2,54.0,1
15000.0, 60 months,15.99,364.7,D,10.0,MORTGAGE,95000.0,Source Verified,debt_consolidation,FL,11.85,1.0,1.0,7.0,8937.0,60.0,24.0,0
35000.0, 60 months,12.69,790.82,B,4.0,RENT,71000.0,Verified,debt_consolidation,NJ,17.09,0.0,0.0,4.0,28948.0,43.1,13.0,1
10000.0, 36 months,13.75,340.57,E,0.0,RENT,35000.0,Not Verified,debt_consolidation,NY,17.38,0.0,0.0,10.0,22213.0,65.9,22.0,1
10000.0, 60 months,19.69,263.22,E,3.0,MORTGAGE,84000.0,Not Verified,other,OK,21.56,0.0,2.0,7.0,17995.0,92.3,19.0,1
2000.0, 36 months,9.63,64.19,B,8.0,RENT,60000.0,Not Verified,credit_card,MN,21.74,0.0,0.0,7.0,32008.0,49.8,13.0,1
7000.0, 36 months,11.49,230.8,B,10.0,MORTGAGE,114000.0,Source Verified,debt_consolidation,NH,24.15,0.0,1.0,17.0,42445.0,76.6,37.0,1
10000.0, 36 months,14.22,342.85,C,7.0,RENT,48000.0,Not Verified,debt_consolidation,VA,19.32,0.0,0.0,8.0,16335.0,80.5,21.0,1
12000.0, 36 months,13.98,410.02,C,2.0,RENT,60000.0,Source Verified,other,NY,8.28,0.0,0.0,7.0,4917.0,78.0,18.0,1
4000.0, 36 months,7.29,124.04,A,4.0,MORTGAGE,37000.0,Source Verified,debt_consolidation,MA,9.21,0.0,0.0,2.0,3344.0,15.9,8.0,1
12000.0, 60 months,10.38,257.22,B,10.0,OWN,20004.0,Verified,debt_consolidation,GA,15.84,0.0,0.0,12.0,6319.0,8.5,25.0,1
16000.0, 60 months,17.99,406.21,E,10.0,RENT,75000.0,Source Verified,debt_consolidation,IL,21.22,0.0,2.0,11.0,7666.0,57.6,54.0,1
16000.0, 36 months,13.57,543.5,C,3.0,OWN,60000.0,Not Verified,debt_consolidation,MN,18.58,0.0,0.0,15.0,24089.0,60.2,34.0,1
16000.0, 60 months,15.58,385.53,D,10.0,MORTGAGE,101004.0,Verified,debt_consolidation,NJ,17.63,0.0,0.0,18.0,67835.0,78.7,34.0,1
9600.0, 36 months,15.21,333.78,D,3.0,MORTGAGE,51500.0,Not Verified,debt_consolidation,OR,19.43,0.0,0.0,13.0,5147.0,97.1,29.0,1
12000.0, 60 months,13.49,276.06,C,0.0,RENT,60000.0,Verified,debt_consolidation,CO,26.6,0.0,1.0,11.0,22371.0,51.2,40.0,1
3600.0, 60 months,16.89,89.26,D,0.0,OWN,9600.0,Source Verified,other,FL,0.0,0.0,0.0,5.0,0.0,0.0,9.0,1
10000.0, 36 months,13.22,338.01,C,3.0,RENT,35000.0,Not Verified,debt_consolidation,CA,8.09,0.0,0.0,7.0,8907.0,61.9,7.0,1
22500.0, 36 months,18.99,824.65,F,2.0,RENT,75846.16,Verified,debt_consolidation,PA,17.48,0.0,2.0,10.0,24030.0,79.8,20.0,1
6600.0, 36 months,10.83,215.55,B,0.0,MORTGAGE,72000.0,Verified,credit_card,WV,17.87,0.0,0.0,13.0,5595.0,14.9,25.0,1
3000.0, 36 months,9.63,96.29,A,2.0,RENT,45000.0,Not Verified,car,NY,5.36,0.0,2.0,4.0,10222.0,75.3,6.0,1
5000.0, 36 months,14.17,171.31,C,9.0,RENT,36000.0,Not Verified,debt_consolidation,MA,14.13,0.0,1.0,3.0,1377.0,98.4,8.0,0
12000.0, 60 months,13.43,275.69,C,10.0,MORTGAGE,275004.0,Verified,other,MA,0.62,0.0,1.0,5.0,5518.0,24.0,10.0,1
10000.0, 36 months,12.42,334.16,B,3.0,RENT,52000.0,Not Verified,debt_consolidation,CA,9.51,0.0,0.0,7.0,11931.0,75.9,14.0,1
6000.0, 36 months,9.91,193.35,B,3.0,RENT,52800.0,Source Verified,credit_card,TX,11.61,0.0,1.0,9.0,12362.0,69.1,19.0,1
9600.0, 36 months,13.16,324.2,C,5.0,MORTGAGE,35000.0,Source Verified,debt_consolidation,GA,16.15,0.0,0.0,10.0,14852.0,79.4,26.0,1
17000.0, 60 months,11.99,378.07,B,10.0,MORTGAGE,81000.0,Verified,debt_consolidation,TX,15.12,0.0,0.0,17.0,22400.0,49.7,44.0,1
8000.0, 36 months,6.99,246.99,A,2.0,RENT,65000.0,Source Verified,other,NY,3.75,0.0,1.0,9.0,7545.0,24.1,22.0,1
12000.0, 36 months,11.99,398.52,B,5.0,RENT,26000.0,Verified,debt_consolidation,MD,5.68,0.0,0.0,5.0,6048.0,30.4,17.0,1
6900.0, 36 months,10.65,224.76,B,2.0,MORTGAGE,120000.0,Not Verified,debt_consolidation,TX,13.42,0.0,1.0,8.0,10793.0,70.5,27.0,1
12000.0, 60 months,12.87,272.24,C,10.0,MORTGAGE,46968.0,Source Verified,other,MI,16.5,1.0,1.0,11.0,32517.0,59.4,29.0,1
20000.0, 36 months,11.89,663.28,B,10.0,MORTGAGE,60600.0,Verified,home_improvement,AL,2.89,0.0,4.0,6.0,6863.0,46.7,12.0,0
35000.0, 36 months,10.99,1145.69,B,8.0,MORTGAGE,390000.0,Verified,home_improvement,CA,3.71,0.0,0.0,12.0,46539.0,0.0,33.0,1
10000.0, 36 months,9.32,319.47,A,7.0,MORTGAGE,87204.0,Not Verified,other,TX,6.4,0.0,2.0,15.0,1513.0,5.2,53.0,1
6200.0, 60 months,18.62,159.54,F,0.0,OWN,69996.0,Verified,small_business,MO,16.89,3.0,0.0,16.0,7835.0,50.2,36.0,1
13000.0, 36 months,14.46,447.22,D,4.0,RENT,38000.0,Source Verified,credit_card,FL,22.58,0.0,0.0,3.0,12653.0,94.4,5.0,1
15250.0, 36 months,11.86,505.5,B,7.0,MORTGAGE,52000.0,Not Verified,credit_card,TX,15.6,0.0,3.0,8.0,14551.0,74.6,14.0,1
10000.0, 60 months,16.89,247.94,D,10.0,MORTGAGE,207996.0,Verified,other,CA,11.04,0.0,0.0,9.0,4384.0,43.8,34.0,1
7200.0, 36 months,10.39,233.65,B,1.0,RENT,48000.0,Not Verified,credit_card,CO,12.63,0.0,0.0,9.0,5824.0,44.7,9.0,1
16000.0, 36 months,11.71,529.22,B,7.0,RENT,42494.0,Source Verified,car,MD,10.65,0.0,0.0,6.0,3.0,0.2,9.0,0
7000.0, 36 months,9.91,225.58,B,5.0,RENT,54008.0,Verified,debt_consolidation,CA,8.64,0.0,0.0,11.0,11823.0,58.8,12.0,1
5000.0, 36 months,8.49,157.82,A,10.0,MORTGAGE,33000.0,Not Verified,credit_card,GA,8.22,0.0,3.0,9.0,1303.0,6.7,44.0,1
5000.0, 36 months,6.99,154.37,A,4.0,RENT,39000.0,Not Verified,debt_consolidation,NY,9.17,0.0,1.0,10.0,5040.0,12.2,18.0,1
6000.0, 36 months,7.9,187.75,A,0.0,RENT,57000.0,Source Verified,other,PA,8.61,0.0,0.0,6.0,7001.0,40.5,7.0,1
10000.0, 36 months,8.94,317.72,A,10.0,RENT,90000.0,Not Verified,other,TX,12.83,0.0,0.0,12.0,43615.0,16.7,23.0,1
12000.0, 36 months,16.07,422.33,D,0.0,RENT,45760.0,Verified,debt_consolidation,MA,12.59,0.0,3.0,6.0,7486.0,81.5,14.0,1
12000.0, 36 months,5.42,361.92,A,4.0,MORTGAGE,31000.0,Not Verified,house,MI,5.81,0.0,0.0,9.0,12399.0,24.1,37.0,1
12000.0, 36 months,7.29,372.12,A,1.0,RENT,80004.0,Not Verified,other,NY,9.66,0.0,0.0,19.0,1022.0,2.9,42.0,1
12000.0, 60 months,16.89,297.53,D,10.0,MORTGAGE,50000.0,Not Verified,debt_consolidation,NC,14.81,1.0,2.0,12.0,25759.0,72.6,23.0,1
10000.0, 36 months,13.79,340.76,C,1.0,RENT,48000.0,Not Verified,wedding,IL,4.95,0.0,1.0,16.0,1718.0,14.9,24.0,1
7000.0, 36 months,13.49,237.52,C,10.0,MORTGAGE,38000.0,Source Verified,debt_consolidation,NY,12.88,2.0,0.0,15.0,10133.0,52.5,22.0,1
1500.0, 36 months,14.22,51.43,C,2.0,RENT,30000.0,Source Verified,other,PA,14.52,0.0,1.0,13.0,9040.0,36.7,16.0,1
9600.0, 36 months,13.79,327.13,C,6.0,MORTGAGE,108202.0,Verified,debt_consolidation,FL,5.39,0.0,0.0,6.0,29526.0,95.6,45.0,1
9800.0, 36 months,11.11,321.36,B,4.0,RENT,60000.0,Not Verified,small_business,KS,8.46,0.0,2.0,13.0,9353.0,35.8,22.0,1
15000.0, 60 months,12.69,338.93,B,3.0,OWN,30000.0,Verified,debt_consolidation,NJ,24.76,0.0,1.0,7.0,16876.0,65.7,17.0,0
20000.0, 60 months,16.49,491.59,D,2.0,MORTGAGE,72000.0,Verified,debt_consolidation,WA,19.7,0.0,2.0,16.0,3787.0,12.2,26.0,1
15000.0, 36 months,6.54,316.64,A,4.0,MORTGAGE,80000.0,Verified,debt_consolidation,TX,9.24,0.0,0.0,15.0,2258.0,2.2,20.0,1
16500.0, 36 months,17.27,590.49,D,10.0,MORTGAGE,64000.0,Verified,credit_card,GA,7.97,0.0,0.0,9.0,16896.0,96.0,13.0,0
1000.0, 36 months,10.62,32.56,B,2.0,OWN,14400.0,Not Verified,other,FL,23.58,0.0,1.0,5.0,7600.0,74.5,15.0,1
6000.0, 36 months,16.77,213.24,E,2.0,RENT,36000.0,Not Verified,debt_consolidation,GA,14.47,0.0,0.0,3.0,6782.0,99.7,5.0,1
6250.0, 60 months,11.49,137.43,B,6.0,OWN,24996.0,Verified,debt_consolidation,AL,29.57,0.0,1.0,7.0,3118.0,29.7,14.0,1
7500.0, 36 months,11.59,188.21,C,3.0,RENT,155000.0,Not Verified,credit_card,NY,11.92,0.0,2.0,13.0,64451.0,91.9,26.0,1
8500.0, 60 months,10.99,184.77,B,10.0,MORTGAGE,65000.0,Not Verified,debt_consolidation,NV,11.87,0.0,0.0,15.0,29823.0,54.9,25.0,1
5000.0, 36 months,12.23,166.63,C,2.0,MORTGAGE,50000.0,Not Verified,credit_card,CA,4.9,0.0,2.0,4.0,7127.0,72.7,7.0,0
